Date,Machine_ID,Retailer_ID,Terminal_ID,termType,Chain_ID,TMID,Location_City,Zip,Scratchers_Sales,Out_of_Stock__
7/14/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/15/2019,10488_2,10488,2,PHD,8128,101,A,86880,800,0.0833
7/15/2019,10504_2,10504,2,PHD,8128,101,A,86883,734,0
7/15/2019,11198_2,11198,2,PHD,8052,302,B,85965,1028,0.0001
7/15/2019,11800_3,11800,3,PHD,9849,209,C,85998,1008,0.0485
7/15/2019,11847_4,11847,4,PHD,0,107,C,85998,260,0
7/15/2019,12795_3,12795,3,PHD,0,209,C,85998,648,0.0161
7/15/2019,14881_2,14881,2,PHD,8128,302,B,85965,513,0.0167
7/15/2019,15155_3,15155,3,PHD,0,107,C,85999,484,0.0289
7/15/2019,15159_2,15159,2,PHD,8052,209,C,85998,1345,0
7/15/2019,15159_3,15159,3,PHD,8052,209,C,85998,1119,0.0098
7/15/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,219,0.1496
7/15/2019,15490_2,15490,2,PHD,0,101,A,86884,134,0
7/15/2019,16570_2,16570,2,PHD,8011,101,A,86881,573,0
7/15/2019,18192_3,18192,3,PHD,8128,209,C,85999,586,0.0746
7/15/2019,35016_2,35016,2,PHD,8011,107,C,85997,1112,0
7/15/2019,40212_2,40212,2,PHD,8128,101,A,86883,614,0.0215
7/15/2019,45189_3,45189,3,PHD,8128,101,A,86883,186,0
7/15/2019,52290_3,52290,3,PHD,8052,101,A,86880,1636,0
7/15/2019,61747_3,61747,3,PHD,8011,101,A,86880,295,0
7/15/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/15/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/15/2019,65783_2,65783,2,PHD,0,209,C,85999,12,0
7/15/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/16/2019,10488_2,10488,2,PHD,8128,101,A,86880,1132,0.0628
7/16/2019,10504_2,10504,2,PHD,8128,101,A,86883,360,0.0091
7/16/2019,11198_2,11198,2,PHD,8052,302,B,85965,1390,0.0007
7/16/2019,11800_3,11800,3,PHD,9849,209,C,85998,328,0.0159
7/16/2019,11847_4,11847,4,PHD,0,107,C,85998,369,0.0002
7/16/2019,12795_3,12795,3,PHD,0,209,C,85998,832,0.0008
7/16/2019,14881_2,14881,2,PHD,8128,302,B,85965,579,0.0501
7/16/2019,15155_3,15155,3,PHD,0,107,C,85999,789,0.0505
7/16/2019,15159_2,15159,2,PHD,8052,209,C,85998,976,0
7/16/2019,15159_3,15159,3,PHD,8052,209,C,85998,1378,0.0067
7/16/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,214,0
7/16/2019,15490_2,15490,2,PHD,0,101,A,86884,395,0
7/16/2019,16570_2,16570,2,PHD,8011,101,A,86881,439,0.0004
7/16/2019,18192_3,18192,3,PHD,8128,209,C,85999,863,0.0983
7/16/2019,35016_2,35016,2,PHD,8011,107,C,85997,1765,0.0001
7/16/2019,40212_2,40212,2,PHD,8128,101,A,86883,629,0.0039
7/16/2019,45189_3,45189,3,PHD,8128,101,A,86883,151,0
